date,count,total_count,ratio
2024-07-13,181,6420,0.028193146417445483
2024-07-14,174,6764,0.0257244234180958
2024-07-15,198,11317,0.017495802774586906
2024-07-16,175,12730,0.013747054202670856
2024-07-17,279,12786,0.021820741435945566
2024-07-18,305,12391,0.024614639657816156
2024-07-19,319,11124,0.0286767349874146
2024-07-20,179,5620,0.03185053380782918
2024-07-21,1228,6648,0.18471720818291215
2024-07-22,1865,11112,0.16783657307415406
2024-07-23,1702,12072,0.140987408880053
2024-07-24,1365,12790,0.10672400312744332
2024-07-25,1257,12582,0.09990462565569862
2024-07-26,1033,11741,0.08798228430287028
2024-07-27,538,6579,0.08177534579723363
2024-07-28,463,6273,0.07380838514267496
2024-07-29,685,8724,0.07851902796882164
2024-07-30,966,11393,0.08478890546826999
2024-07-31,1196,12534,0.09542045635870433
2024-08-01,1033,12304,0.08395643693107932
2024-08-02,991,11218,0.08834016758780532
2024-08-03,479,6374,0.07514904298713523
2024-08-04,405,6016,0.06732047872340426
2024-08-05,817,11271,0.07248691331736315
2024-08-06,1321,12365,0.10683380509502628
2024-08-07,1104,12891,0.08564114498487317
2024-08-08,979,12256,0.07987924281984334
2024-08-09,804,11234,0.07156845291080648
2024-08-10,424,6530,0.06493108728943338
2024-08-11,433,5837,0.07418194277882474
2024-08-12,785,10296,0.07624320124320125
2024-08-13,889,11230,0.07916295636687444
2024-08-14,943,11671,0.08079856053465856
2024-08-15,972,11673,0.08326908249807248
2024-08-16,939,10664,0.08805326331582895
2024-08-17,442,5721,0.07725922041601119
2024-08-18,537,5592,0.09603004291845493
2024-08-19,1248,10371,0.12033555105582876
2024-08-20,1444,11617,0.12430059395713179
2024-08-21,1520,11869,0.1280647063779594
2024-08-22,1589,12059,0.13176880338336514
2024-08-23,1457,11102,0.13123761484417223
2024-08-24,427,5971,0.07151230949589683
2024-08-25,365,5700,0.06403508771929825
2024-08-26,817,10505,0.0777724892908139
2024-08-27,870,12342,0.07049100631988332
2024-08-28,885,12618,0.07013789824060865
2024-08-29,991,12880,0.07694099378881987
2024-08-30,829,11516,0.07198680097255991
2024-08-31,391,6837,0.05718882550826386
2024-09-01,391,6393,0.061160644454872515
2024-09-02,518,7935,0.06528040327662256
2024-09-03,775,11383,0.06808398488974787
2024-09-04,957,12733,0.07515903557684755
2024-09-05,945,14654,0.06448751194213184
2024-09-06,1036,13988,0.07406348298541607
2024-09-07,464,8191,0.05664753998290807
2024-09-08,540,8258,0.06539113586824898
2024-09-09,1076,13985,0.07693957811941365
2024-09-10,1623,14900,0.1089261744966443
2024-09-11,2346,14395,0.16297325460229245
2024-09-12,1412,14913,0.09468249178569034
2024-09-13,1134,13527,0.08383233532934131
2024-09-14,492,7530,0.0653386454183267
2024-09-15,663,8237,0.08049046983124925
2024-09-16,938,13351,0.0702569095947869
2024-09-17,992,14293,0.06940460365213741
2024-09-18,1045,14689,0.0711416706378923
2024-09-19,1034,14219,0.0727196005344961
2024-09-20,956,13066,0.07316699831624063
2024-09-21,457,7496,0.060965848452508006
2024-09-22,521,7789,0.06688920272178714
2024-09-23,895,12963,0.06904265987811463
2024-09-24,977,14221,0.0687012165107939
2024-09-25,944,14579,0.06475066877014884
2024-09-26,819,14535,0.056346749226006194
2024-09-27,906,13526,0.0669821085317167
2024-09-28,453,7650,0.05921568627450981
2024-09-29,494,7933,0.062271524013614014
2024-09-30,896,13843,0.06472585422235065
2024-10-01,1193,15011,0.07947505162880554
2024-10-02,1126,14569,0.07728739103576086
2024-10-03,890,14031,0.0634309742712565
2024-10-04,828,13039,0.06350180228545134
2024-10-05,440,7317,0.06013393467268006
2024-10-06,501,7701,0.06505648617062719
2024-10-07,851,12812,0.06642210427724009
2024-10-08,1087,14582,0.0745439583047593
2024-10-09,940,14592,0.0644188596491228
2024-10-10,992,14546,0.06819744259590266
2024-10-11,994,12860,0.07729393468118195
2024-10-12,479,7137,0.06711503432814908
2024-10-13,547,7440,0.07352150537634408
2024-10-14,998,12497,0.07985916619988798
2024-10-15,1128,14349,0.07861174994773155
2024-10-16,1346,14601,0.09218546674885282
2024-10-17,1140,14742,0.07733007733007732
2024-10-18,1123,13535,0.08297007757665312
2024-10-19,530,7525,0.07043189368770764
2024-10-20,681,7909,0.08610443798204577
2024-10-21,1143,13514,0.08457895515761432
2024-10-22,1319,14636,0.09012025143481826
2024-10-23,1442,15038,0.0958904109589041
2024-10-24,1400,14632,0.09568069983597595
2024-10-25,1517,13998,0.10837262466066581
2024-10-26,774,7854,0.0985485103132162
2024-10-27,761,7795,0.09762668377164849
2024-10-28,1522,13280,0.11460843373493976
2024-10-29,1647,13934,0.11820008612028132
2024-10-30,1604,14780,0.10852503382949932
2024-10-31,1500,14511,0.10336985734959686
2024-11-01,1578,13845,0.11397616468039003
2024-11-02,915,8378,0.10921460969205062
2024-11-03,991,7941,0.12479536582294422
2024-11-04,1998,14317,0.13955437591674233
2024-11-05,2635,16921,0.1557236569942675
2024-11-06,2965,16983,0.1745863510569393
2024-11-07,1515,15579,0.09724629308684768
2024-11-08,1105,14707,0.07513428979397566
2024-11-09,549,8215,0.06682897139379185
2024-11-10,522,8362,0.0624252571155226
2024-11-11,620,13032,0.04757519950890117
2024-11-12,583,15297,0.038112048114009284
2024-11-13,684,15814,0.04325281396231188
2024-11-14,469,15943,0.029417299128144014
2024-11-15,401,14261,0.028118645256293387
